AUTOMATIC,MANUAL
thank you,BLANK
I'm a proud lifelong nerd and I have a PhD in ,I'm a proud lifelong nerd and I have a PhD in 
chemistry and chemical biology to prove it which  ,chemistry and chemical biology to prove it which  
is why I never thought I'd be that guy who's ,is why I never thought I'd be that guy who's 
standing up here talking about my love affair  ,standing up here talking about my love affair  
with fashion and there's someone else in my life ,with fashion and there's someone else in my life 
who's equally shocked by this turn of events and  ,who's equally shocked by this turn of events and  
that's my what my wonderful wife who literally has ,that's my what my wonderful wife who literally has 
a degree in fashion but here I am standing with  ,a degree in fashion but here I am standing with  
these two wallets one of these is made out of ,these two wallets one of these is made out of 
leather one of these is made out of mushrooms  ,leather one of these is made out of mushrooms  
and I'm not going to tell you which one is which ,and I'm not going to tell you which one is which 
the average consumer can't tell you the difference  ,the average consumer can't tell you the difference  
and that's kind of the whole point because even ,and that's kind of the whole point because even 
if you hate fashion you've got an entire room in  ,if you hate fashion you've got an entire room in  
your house devoted to it it's called your closet ,your house devoted to it it's called your closet 
and your closet is full of all kinds of materials  ,and your closet is full of all kinds of materials  
cotton leather nylon polyester that list goes on ,cotton leather nylon polyester that list goes on 
and on and those materials matter because those  ,and on and those materials matter because those  
materials are the Reason fashion is in the midst ,materials are the Reason fashion is in the midst 
of a sustainability crisis this is an industry  ,of a sustainability crisis this is an industry  
that makes 100 billion plus items per year now ,that makes 100 billion plus items per year now 
when I started my journey I thought this was going  ,when I started my journey I thought this was gonna
to be a really easy answer we just consume less ,be a really easy answer we just consume less 
we have fewer better things but in the last decade  ,we have fewer better things but in the last decade  
I've come to believe that ignores fundamental ,I've come to believe that ignores fundamental 
realities of both fashion and Human Nature  ,realities of both fashion and Human Nature  
you see fashion is not purely functional it's ,you see fashion is not purely functional it's 
about confidence creativity self-expression  ,about confidence creativity self-expression  
it's a pure reflection of our innate desire as ,it's a pure reflection of our innate desire as 
humans to always want more and it satisfies our  ,humans to always want more and it satisfies our  
insatiable appetites to discover buy collect show ,insatiable appetites to discover buy collect show 
off in truth fashion is intrinsic to Who We Are  ,off in truth fashion is intrinsic to Who We Are  
there is a piece of good news though we can ,there is a piece of good news though we can 
make fashion sustainable and we're going to  ,make fashion sustainable and we're gonna 
do it with science and we're going to do it ,do it with science and we're gonna do it 
not by changing the humans but by changing  ,not by changing the humans but by changing  
those materials themselves and lucky for us the ,those materials themselves and lucky for us the 
answers to all of Fashions materials problems are  ,answers to all of Fashion's materials problems are  
available today out there in nature and it's our ,available today out there in nature and it's our 
job as scientists to go find the best inventions  ,job as scientists to go find the best inventions  
from Nature's 4 billion year catalog of greatest ,from Nature's 4 billion year catalog of greatest 
hits and bring them to the world of design  ,hits and bring them to the world of design  
so I started a PhD and I actually fell in love ,so I started a PhD and I actually fell in love 
with one of those materials from nature and it's  ,with one of those materials from nature and it's  
this it's spider silk it's this fine elegant tough ,this it's spider silk it's this fine elegant tough 
fiber that spiders make I mean you've probably  ,fiber that spiders make I mean you've probably  
seen a Spider-Man movie you know you may have ,seen a Spider-Man movie you know you may have 
wanted to make Peter Parker's web Slinger it's  ,wanted to make Peter Parker's web Slinger it's  
okay I did too it's badass I wanted to recreate ,okay I did too it's badass I wanted to recreate 
that material in a lab so I started a company  ,that material in a lab so I started a company  
and we did just that and the very first product ,and we did just that and the very first product 
we made was this a tie I took the very first tie  ,we made was this a tie I took the very first tie  
and I sent it to Stan Lee himself co-creator of ,and I sent it to Stan Lee himself co-creator of 
Spider-Man Idol to nerds around the planet all  ,Spider-Man Idol to nerds around the planet all  
around amazing human and he loved it he actually ,around amazing human and he loved it he actually 
cold called my phone from a block number and we  ,cold called my phone from a block number and we  
geeked out over the technology and back in those ,geeked out over the technology and back in those 
days almost nobody was working on sustainable  ,days almost nobody was working on sustainable  
materials in fashion so uh I excitedly ran off ,materials in fashion so uh I excitedly ran off 
to go talk to designers and fashion Executives  ,to go talk to designers and fashion Executives  
and they thought this was fine like cool but they ,and they thought this was fine like cool but they 
couldn't shut up about their problem with leather  ,couldn't shut up about their problem with leather  
and for a really good reason leather is one of ,and for a really good reason leather is one of 
the most pivotal materials in the Fashion World in  ,the most pivotal materials in the Fashion World in  
2020 alone the five biggest European luxury houses ,2020 alone the five biggest European luxury houses 
sold over 50 billion dollars of leather goods  ,sold over 50 billion dollars of leather goods  
and the challenge with leather is that today it's ,and the challenge with leather is that today it's 
inextricably linked to raising cows and not just  ,inextricably linked to raising cows and not just  
a few like lots of cows and cows at the global ,a few like lots of cows and cows at the global 
scale are terrible for our environmental future  ,scale are terrible for our environmental future  
and so I left this conversation thinking okay ,and so I left this conversation thinking okay 
what makes leather leather and the truth is nobody  ,what makes leather leather and the truth is nobody  
loves leather because it comes from a cow we love ,loves leather because it comes from a cow we love 
it because it's strong it's soft it's beautiful it  ,it because it's strong it's soft it's beautiful it  
plays from the runway in Paris to a rodeo in Texas ,plays from the runway in Paris to a rodeo in Texas 
so if we can take cows out of the equation thing  ,so if we can take cows out of the equation what's the thing  
we have to replicate to make a great material ,we have to replicate to make a great material 
like leather and the answer is microstructure  ,like leather and the answer is microstructure  
so this is a microscope image of the collagen and ,so this is a microscope image of the collagen in
cowhide and it looks like a mess it's just this  ,cowhide and it looks like a mess it's just this  
jumble of fibers mixed together at its Essence ,jumble of fibers mixed together at its Essence 
that structure is why leather is both pliable  ,that structure is why leather is both pliable  
and strong now contrast that to your closet all ,and strong now contrast that to your closet all 
those materials they're what we call knits or  ,those materials they're what we call knits or  
wovens they look like this under a microscope ,wovens they look like this under a microscope 
essentially you take a single thread and you  ,essentially you take a single thread and you  
Loop it around itself or you crisscross it over ,Loop it around itself or you crisscross it over 
itself and you make a fabric so if we want to make  ,itself and you make a fabric so if we want to make  
a new material with the same amazing properties ,a new material with the same amazing properties 
as leather we need to go out in nature and find  ,as leather we need to go out in nature and find  
a natural material with the same ,a natural material with the same 
microstructure as the collagen in cowhide  ,microstructure as the collagen in cowhide  
now my brain gets going with this and I think ,now my brain gets going with this and I think 
okay we can grow skin we can grow pure collagen  ,okay we can grow skin we can grow pure collagen  
we can use plant fibers those all fail quality ,we can use plant fibers those all fail quality 
cost or scalability reasons tank those ideas  ,cost or scalability reasons tank those ideas  
and that's what brought me to the world ,and that's what brought me to the world 
of fungi so I'm going to assume you all  ,of fungi so I'm going to assume you all  
know what mushrooms are I'm going to show you ,know what mushrooms are I'm going to show you 
some mushrooms on the side of a dead tree and  ,some mushrooms on the side of a dead tree and  
I'm much more interested in what's happening ,I'm much more interested in what's happening 
just beneath the surface inside that tree are  ,just beneath the surface inside that tree are  
millions of stringy little strands that are ,millions of stringy little strands that are 
called mycelium that are eating away at it  ,called mycelium that are eating away at it  
and they look like this so you see those white ,and they look like this so you see those white 
fibrous fruits they're underneath the mushroom  ,fibrous fruits they're underneath the mushroom  
those are mycelium they're these long branched ,those are mycelium they're these long branched 
networks and what they're doing is eating dead  ,networks and what they're doing is eating dead  
stuff in the soil and releasing nutrients ,stuff in the soil and releasing nutrients 
to the mushroom into the ecosystem around it  ,to the mushroom into the ecosystem around it  
and so now I'm going to show you side by side ,and so now I'm going to show you side by side 
let's have a look collagen on the left mycelium  ,let's have a look collagen on the left mycelium  
on the right we're looking at microstructure ,on the right we're looking at microstructure 
I'm saving you six years of getting a PhD  ,I'm saving you six years of getting a PhD  
we're on to something here but to pull this off ,we're on to something here but to pull this off 
we need to do this at the scale of fashion so we  ,we need to do this at the scale of fashion so we  
don't need a little mycelium we need a lot not ,don't need a little mycelium we need a lot not 
a lab but a factory so that's exactly what we  ,a lab but a factory so that's exactly what we  
did so here what you're seeing is our Factory ,did so here what you're seeing is our Factory 
first factory and you're seeing rows and rows  ,first factory and you're seeing rows and rows  
and rows of pure mycelium growing in these trays ,and rows of pure mycelium growing in these trays 
and those mycelium are eating leftover sawdust so  ,and those mycelium are eating leftover sawdust so  
they're doing what fungi do best in nature they ,they're doing what fungi do best in nature they 
eat something nobody wants and they turn it into  ,eat something nobody wants and they turn it into  
something useful and instead of growing into ,something useful and instead of growing into 
the soil these my son are growing up in these  ,the soil these mycelium are growing up in these  
big puffy clouds that we can easily Harvest ,big puffy clouds that we can easily Harvest 
and this is where science has to meet design  ,and this is where science has to meet design  
see we need to take that material and turn it ,you see we need to take that material and turn it 
to something leather-like it has to be beautiful  ,to something leather-like it has to be beautiful  
has to be functional and designers need to be ,has to be functional and designers need to be 
able to easily incorporate it into the world  ,able to easily incorporate it into the world  
of fashion products the first prototypes were ,of fashion products the first prototypes were 
none of those things but after many many many  ,none of those things but after many many many  
many thousands of iterations we have a material ,many thousands of iterations we have a material 
and we call it Milo and Milo does everything we  ,and we call it Mylo and Mylo does everything we  
set out for it it's beautiful it's functional ,set out for it it's beautiful it's functional 
but most importantly it's sustainable so when  ,but most importantly it's sustainable so when  
you grow mushrooms it takes about a little under ,you grow mushrooms it takes about a little under 
one square meter of land to grow one kilogram  ,one square meter of land to grow one kilogram  
of mushrooms contrast that to cows takes about 97 ,of mushrooms contrast that to cows takes about 97 
square meters of land to grow one kilogram of cow  ,square meters of land to grow one kilogram of cow  
and when we're growing Milo we're doing this in ,and when we're growing Mylo we're doing this in 
high density vertical Agriculture and we power it  ,high density vertical Agriculture and we power it  
