AUTOMATIC,MANUAL
thank you,BLANK
seventy thousand years ago humans were ,seventy thousand years ago humans were 
insignificant animals the most important  ,insignificant animals the most important  
thing you need to know about our prehistoric ,thing you need to know about our prehistoric 
ancestors is that they were unimportant animals  ,ancestors is that they were unimportant animals  
their impact on the world was not greater than ,their impact on the world was not greater than 
that of fireflies or jellyfish or woodpeckers  ,that of fireflies or jellyfish or woodpeckers  
today on the other hand we control this planet ,today on the other hand we control this planet 
and what I would like to talk about today is  ,and what I would like to talk about today is  
how exactly did we reach from there to here ,how exactly did we reach from there to here 
how did we turn ourselves from insignificant  ,how did we turn ourselves from insignificant  
Apes minding their own business in a corner ,Apes minding their own business in a corner 
of Africa into the rulers of planet Earth  ,of Africa into the rulers of planet Earth  
now usually when we try to answer this question ,now usually when we try to answer this question 
we look for the answer on the individual level  ,we look for the answer on the individual level  
we want to believe I want to believe that there is ,we want to believe I want to believe that there is 
something special about me that there is something  ,something special about me that there is something  
special about my body about my brain that makes ,special about my body about my brain that makes 
me such a superior creature to a dog or a pig or a  ,me such a superior creature to a dog or a pig or a  
chimpanzee but the fact is that on the individual ,chimpanzee but the fact is that on the individual 
level I'm embarrassingly similar to a chimpanzee  ,level I'm embarrassingly similar to a chimpanzee  
if you put me in a chimpanzee together on a Long ,if you put me in a chimpanzee together on a lone
Island and we had to struggle for survival I would  ,Island and we had to struggle for survival I would  
definitely place my bets on the chimpanzee not ,definitely place my bets on the chimpanzee not 
on myself and this is not something wrong with  ,on myself and this is not something wrong with  
me personally I guess it's true of you also that ,me personally I guess it's true of you also that 
if they took any one of you almost anyone and  ,if they took any one of you almost anyone and  
place you on a long island with a chimpanzee the ,place you on a lone island with a chimpanzee the 
chimpanzee would do better the real advantage of  ,chimpanzee would do better the real advantage of  
humans is in their unique ability to cooperate ,humans is in their unique ability to cooperate 
flexibly in very large numbers now the only  ,flexibly in very large numbers they are the only  
animals that can do that there are some other ,animals that can do that there are some other 
animals like the social insects the bees and  ,animals like the social insects the bees and  
the ants that can cooperate also in quite large ,the ants that can cooperate also in a quite large 
numbers but they do so in a very legit way they're  ,numbers but they do so in a very rigid way they're  
inflexible in the way that they cooperate if there ,inflexible in the way that they cooperate if there 
is a new opportunity or a new Danger The Beehive  ,is a new opportunity or a new Danger The Beehive  
cannot change overnight its social system the ,cannot change overnight its social system the 
way that they cooperate saying execute the queen  ,way that they cooperate say execute the queen  
and let's have a republic of bees they can't do ,and let's have a republic of bees they can't do 
it they're rigid in the way that they function  ,it they're rigid in the way that they function  
there are other social animals like wolves like ,there are other social animals like wolves like 
dolphins like chimpanzees that they are much  ,dolphins like chimpanzees that they are much  
