,AUTOMATIC,LOG PROB,IS_CORRECT
990,foreign,-10.78689575,FALSE
842,oh no,-11.61850739,FALSE
480,BLANK,-18.70718765,FALSE
843,BLANK,-18.70718765,FALSE
927,BLANK,-18.70718765,FALSE
979,BLANK,-18.70718765,FALSE
982,BLANK,-18.70718765,FALSE
983,BLANK,-18.70718765,FALSE
984,BLANK,-18.70718765,FALSE
985,BLANK,-18.70718765,FALSE
0,thank you,-19.21765995,FALSE
221,thank you,-19.21765995,FALSE
529,thank you,-19.21765995,FALSE
752,thank you,-19.21765995,FALSE
980,let's go,-22.2472229,TRUE
401,welcome back,-23.29904175,TRUE
978,in the circle now hey hey,-33.40907532,FALSE
603,its waste clearance problem,-37.27782631,TRUE
150,up in high density vertical agriculture,-43.03906393,TRUE
527,building more meaning and sustainability,-47.78407001,TRUE
965,and black is a beautiful thing,-48.97241688,TRUE
395,built with safety and stability,-49.07116699,TRUE
1126,really necessarily happen through fishing,-49.11111069,TRUE
500,our organizations workplaces and relationships,-49.51590633,TRUE
320,I started struggling with debilitating,-49.76577425,TRUE
964,black women because being fat,-49.99755144,TRUE
706,development of that terrible disease,-51.15843534,TRUE
1102,area called a regional fisheries management,-52.37892962,TRUE
91,a natural material with the same,-52.8855567,TRUE
190,about the price of premium calf leather,-55.26968813,TRUE
756,lot of accomplishments but this,-55.3672905,TRUE
482,healthy boundaries for one another,-56.64976501,TRUE
201,a sustainable materials Revolution and in the,-56.74433136,TRUE
1174,and egg thing anyway all together mess,-56.97881937,FALSE
826,of this dance because it matters,-57.21961355,TRUE
323,and no medication or treatment working,-57.24337149,TRUE
989,history tonight so thank you so much,-57.32701063,TRUE
1239,other possibility though which is much,-57.8527422,TRUE
892,once mainstream it's working was,-58.07052851,FALSE
875,it was my secret language my sauce,-58.4416399,TRUE
479,sustain healthy workplaces and relationships,-58.74051809,TRUE
406,subconscious behaviors patterns thoughts and,-59.29427385,TRUE
753,oh my God I'm so excited,-59.53055668,TRUE
214,fashion undoubtedly compounded our sustainability,-59.63119507,TRUE
218,not just about making yourself beautiful,-59.90103626,TRUE
459,use language that has better boundaries,-59.95543861,TRUE
971,have and always will be the blueprint,-60.12816334,TRUE
220,and livable for Generations thank you,-60.51312923,TRUE
297,of diminishing returns and becomes unhealthy,-60.52094173,TRUE
1000,literally having your roster devastated,-60.72994041,TRUE
662,all this fluid rushing through the brain,-60.94045162,TRUE
676,wrote about fluid rushing through the brain,-61.13582373,TRUE
781,and gentlemen welcome to Ted twerk,-61.98813772,TRUE
938,it wasn't taken seriously,-62.19356394,TRUE
939,fast forward to today break dancing is,-62.23874187,TRUE
389,to that part of yourself and say,-62.31219721,TRUE
530,sleep it's something we spend,-62.33150673,TRUE
967,to me as breathing black women invented,-62.6369853,TRUE
610,but it was also beautiful let,-62.9873023,TRUE
833,a black American communal collaboration born of,-63.04753256,TRUE
508,about working with experts like psychologists,-63.15205002,TRUE
555,a kind of elegant design solution to,-63.17701864,TRUE
387,for not feeling accepted earlier in life,-63.49310684,TRUE
499,come together to Resource ourselves to sustain,-63.62559462,TRUE
818,to that thing thinking black people carried,-64.3535533,FALSE
144,high density vertical Agriculture and we power it,-64.45307398,TRUE
639,from the spaces between the brain cells,-64.64314699,TRUE
28,about confidence creativity self-expression,-64.67737627,TRUE
554,we found that sleep may actually be,-64.7039876,TRUE
999,my team had shrunk it was like,-64.78414774,TRUE
534,the most prominent medical researchers of the,-64.96771049,TRUE
231,got through everything together like a family,-65.17036676,TRUE
611,me tell you about what we found,-65.3319726,TRUE
393,be on the clock all the time anymore,-65.34887218,TRUE
711,much more rapid from the sleeping brain,-65.64737654,TRUE
888,working went mainstream the media describes,-65.73344994,FALSE
133,of fashion products the first prototypes were,-65.94560862,TRUE
1215,it's actually a tremendously sustainable solution,-66.0491004,TRUE
494,other people otherwise the quality is really,-66.07774925,TRUE
757,is a dream come true right now,-66.10381937,TRUE
586,second parallel network of vessels that extends,-66.10872984,TRUE
1213,efficient converter of plant protein into animal,-66.38640594,TRUE
513,physical health we seek out doctors Financial,-66.41429281,TRUE
488,for that behavioral change instead of getting,-66.5132761,TRUE
782,I'm gonna take my shoes,-66.61741877,TRUE
145,with a hundred percent renewable energy and this,-66.67756796,TRUE
807,used as a celebration of Joy religious,-66.7596364,TRUE
937,as an art form and subculture,-66.77660418,TRUE
602,so how then does the brain solve,-66.86373615,TRUE
390,thank you so much for making this adaptation,-66.87768221,TRUE
166,the Milo Consortium these are fashion brands,-67.09426308,FALSE
1104,Convention for the conservation of Atlantic,-67.22268677,TRUE
1115,their bodies 20 degrees above ambient temperature,-67.3418169,TRUE
899,listen everything that black people create,-67.49000502,TRUE
125,something useful and instead of growing into,-67.58030891,TRUE
109,stuff in the soil and releasing nutrients,-67.59110737,TRUE
780,my ass is my greatest asset ladies,-67.93670607,TRUE
758,Don't Make some noise for the dress,-67.95819473,FALSE
307,sometimes still feel challenged with it,-68.0391469,TRUE
821,global cultural phenomenon it has become today,-68.06629086,TRUE
811,black women carried these dances across the,-68.17560911,TRUE
931,liberation of women and people around,-68.19947147,TRUE
761,me on social media you've probably,-68.26077366,TRUE
1191,was a Catholic Community they needed fish so,-68.27942371,TRUE
981,okay you really twerking it,-68.32087421,TRUE
89,a new material with the same amazing properties,-68.47497988,TRUE
718,yet developed Alzheimer's disease worsening Sleep,-68.47823906,TRUE
