,AUTOMATIC,LOG PROB,IS_CORRECT
417,good,-9.6621418,FALSE
767,really,-10.74150562,TRUE
229,foreign,-10.78689575,FALSE
768,foreign,-10.78689575,FALSE
425,and now,-14.95881557,TRUE
0,thank you,-19.21765995,FALSE
350,thank you,-19.21765995,FALSE
416,[Music],-22.35924435,TRUE
424,I can hear you sing,-40.96370411,TRUE
641,a Corona driven vaccine Revolution,-41.27089787,TRUE
712,Hardware vaccines use protein,-43.05771351,TRUE
264,under my very special circumstances,-45.61218452,TRUE
734,sometimes I'd cut class,-47.23141766,TRUE
728,Hardware we inject viral protein,-47.56597567,TRUE
504,with you and your appearance,-47.98328876,TRUE
445,a completely different person everybody,-49.45984364,TRUE
695,the vaccine Hardware and then subsequently,-49.48072338,TRUE
725,be exceptionally effective and certainly,-49.84623432,TRUE
911,so realizing that taught me,-51.3833065,TRUE
912,a lesson of utmost importance,-51.63665676,TRUE
528,is to create another horizontal line,-52.16737556,TRUE
638,game-changing historical moments,-52.711483,TRUE
503,people will feel more comfortable,-53.61087608,TRUE
115,all other animals use their communication,-55.79703665,TRUE
353,push me back to the Department,-56.03686428,TRUE
637,at a game changing historical moment,-56.15561724,TRUE
268,I became ill with an autoimmune,-56.33841419,TRUE
276,and is responsible for the neurological,-57.09636641,TRUE
293,I found myself crawling to the hospital,-57.20359898,TRUE
460,proportion called the golden ratio,-57.35075188,TRUE
370,the statistic shows that the average,-57.47498274,TRUE
656,that information can be transferred,-57.81619072,TRUE
730,for viral protein what's the difference,-58.92505884,TRUE
420,from without think about it most,-58.96791697,TRUE
325,the difference between trying and succeeding,-59.28978443,TRUE
277,conjunction including physical sensation,-59.77064419,TRUE
655,inserts into its corresponding port,-59.8145442,TRUE
682,is called in antibodies are produced,-60.46075869,TRUE
897,of people that understanding this Ruth uh was,-60.69331408,FALSE
459,it's all about a very special,-61.25950384,TRUE
247,the effective way to create exceptional results,-61.77976561,FALSE
684,out all without having to experience,-61.89191914,TRUE
657,from the flash drive to then instruct,-61.97397661,TRUE
677,are stored as memory B cells such,-62.57019234,TRUE
220,went along the fictional reality became more,-62.7416811,TRUE
624,bubonic plague Cambridge University shuts down,-62.77080107,TRUE
186,the financial ministers the Prime Minister,-63.03599977,FALSE
437,my entire Eternal capabilities are insufficient,-63.39882898,TRUE
401,attention before I take actions,-63.46666193,TRUE
215,a second layer of fictional reality a reality,-63.72563744,TRUE
626,Isaac Newton gathers his belongings,-63.8345561,TRUE
703,of research and development have been invested,-63.9293375,TRUE
610,and basically that's a part of,-64.07272387,TRUE
733,I'm a bit embarrassed periodically,-64.15518665,TRUE
974,been banished and I've returned,-64.19486189,TRUE
478,perfect body proportion you may ask,-64.29162836,TRUE
70,basis for human Dominion on planet Earth,-64.32803965,TRUE
116,system in order to describe reality,-64.48210335,TRUE
611,what the software is going to do,-64.60810566,TRUE
108,numbers the next question that immediately,-64.77907324,TRUE
234,my father worked hard his entire,-65.17600822,TRUE
672,the receptor and therefore infection is prevented,-65.33067036,TRUE
625,and students are sent home now young,-65.35640955,TRUE
481,if Beauty has mathematical formula then it's,-65.58867979,TRUE
299,everyone will celebrate and wearing costumes,-65.65510988,FALSE
111,ability to do something no other animal,-65.73152447,TRUE
231,from here in a small family of four,-66.01827669,TRUE
670,they produce antibodies antibodies that bind,-66.04075527,TRUE
45,because Corporation Among Wolves or amang,-66.14286709,TRUE
114,humans can create imagined realities together,-66.20768261,TRUE
965,I'm the fish that are caught,-66.24448967,TRUE
214,objective reality we humans have constructed,-66.42440557,TRUE
729,with software we inject RNA that codes,-66.49612617,TRUE
56,especially with large numbers of strangers,-66.51940536,TRUE
691,immune system vaccines contain protein of the,-66.95663118,TRUE
704,in order to generate its corresponding vaccine,-67.11491537,TRUE
292,instead of running to the finish line,-67.1794858,TRUE
488,game of reality versus perception reality is,-67.23955727,FALSE
175,stories very powerful stories stories we might,-67.31124401,TRUE
144,religious field cooperation is based on fiction,-67.61458969,TRUE
681,should we encounter the virus again memory,-67.66232491,TRUE
675,better understand they produce better antibodies,-67.88854218,TRUE
621,only one is yours bring it out,-67.91082859,TRUE
620,more than 7 billion different body combinations,-67.96595144,TRUE
628,in Lincolnshire now Imagine The Following you,-68.23041821,TRUE
452,the change can start from the outside,-68.36751366,FALSE
398,I'm still recovering for my disease,-68.38067532,TRUE
806,is the journey looking for my culinary Legacy,-68.42611361,TRUE
225,wishes and decisions of fictional entities,-68.42888403,TRUE
179,but the most successful story of all probably,-68.56987572,TRUE
312,it's a probability like all probabilities that,-68.62951994,TRUE
472,people likes to see like the human body,-68.70790195,TRUE
609,with friends or buy it anywhere online,-68.71456957,TRUE
329,my health and long before the physical therapy,-68.84517384,TRUE
715,could we use RNA an RNA vaccine now,-68.88041878,TRUE
644,a seafood market in Wuhan,-69.18504953,TRUE
168,that humans have invented and spread around,-69.38526058,TRUE
256,in every given moment every one of,-69.38964128,TRUE
650,ever thought about what viruses are exactly,-69.39226151,TRUE
634,in the head there right then and there,-69.59945297,TRUE
378,I have learned that what happens on my,-69.60421801,TRUE
438,since I was insufficient within I,-69.6740365,TRUE
606,and of course if this style good,-69.68153048,TRUE
448,learning environment wanted to help me succeed,-69.88157082,TRUE
453,success also works from the outside so,-69.98102617,TRUE
295,the hospital before receiving treatment and was,-69.99419022,TRUE
647,people worldwide killing men women and children a,-70.3342886,TRUE
751,into a cell it produces freshly baked hot,-70.35435534,TRUE
439,decided to improve myself from without,-70.36493158,TRUE
87,together in a very flexible and sophisticated,-70.39777279,TRUE
80,this microphone and this computer and this camera,-70.62273073,TRUE
84,watching this talk over the internet somewhere,-70.64791107,TRUE
98,honest factories Corporation is not always nice,-70.7567544,FALSE
375,in Rehabilitation and guess what else happened,-70.9171524,TRUE
